"Time","ICE","Coolant","Cat","HC'","CO'","NOx'","HC","CO","NOx"
"327","325.8454217413599","85.68997549017382","487.02080413615397","0.000262591082328035","0.008734566258524734","0.11143363331365182","0.00013682206138136132","0.01378415926509967","0.0021903866187914464"
"328","321.21459930826495","79.89855542926546","487.2721829919251","0.0001543372798967592","0.0030219280852369136","0.08849932249533707","0.00010910721260412877","0.010743521167870624","0.0023089568418149485"
"329","316.5204113746611","85.59231251771598","487.521665224382","0.0001543372798967592","0.0030219280852369136","0.08849932249533707","8.659603007191261e-05","0.008367760224596224","0.002282142288659883"
"330","312.0385488503641","79.8374288894558","487.76927822725236","0.0001543372798967592","0.0030219280852369136","0.08849932249533707","6.911651187345944e-05","0.006524067739725184","0.0022594324677770333"
"331","307.49239338503185","85.35478219498731","488.0150230692908","0.0001543372798967592","0.0030219280852369136","0.08849932249533707","5.5543114799618345e-05","0.00509325120413545","0.0022399163171460505"
"332","303.1562217405735","79.94695624132783","488.25892669921063","0.0001543372798967592","0.0030219280852369136","0.08849932249533707","4.500211897649501e-05","0.003982824463535014","0.002222888895755831"
"333","298.76232029557593","85.28662587035785","488.5009902163016","0.0001543372798967592","0.0030219280852369136","0.08849932249533707","3.681526009427595e-05","0.0031210208673269767","0.002207803238058251"
"334","294.57620480078083","79.85426391926927","488.7412397685898","0.0001543372798967592","0.0030219280852369136","0.08849932249533707","3.045601425846813e-05","0.002452152490980151","0.002194236385115412"
"335","290.3316897745865","85.02432462556374","488.9796768436262","0.0001543372798967592","0.0030219280852369136","0.08849932249533707","2.5515634356143646e-05","0.0019330060264532581","0.002181859812211671"
"336","286.2932688293754","79.99471825159515","489.21632720982177","0.0001543372798967592","0.0030219280852369136","0.08849932249533707","2.167681110819498e-05","0.0015300489273507429","0.0021704197133514936"
"337","282.2043056316695","84.99296485030283","489.4511923143273","0.0001543372798967592","0.0030219280852369136","0.08849932249533707","1.8693207583640265e-05","0.0012172596236289237","0.0021597186104491766"
"338","278.3177697457711","79.86441294201575","489.68429707583005","0.0001543372798967592","0.0030219280852369136","0.08849932249533707","1.6373589436886213e-05","0.00097444548711052","0.0021496041909522625"
"339","274.375877660726","84.70130216908035","489.9156433925757","0.0001543372798967592","0.0030219280852369136","0.08849932249533707","1.456949191004379e-05","0.0007859364667615557","0.0021399576227032232"
"340","270.63280637993205","80.04149359097659","490.14525590033304","0.0001543372798967592","0.0030219280852369136","0.08849932249533707","1.3165657898739717e-05","0.0006395723778415993","0.0021306874708834174"
"341","266.844009325319","84.63769225396987","490.3731363690157","0.0001543372798967592","0.0030219280852369136","0.08849932249533707","1.2072605172299158e-05","0.0005259163413688715","0.002121722083028463"
"342","263.2480012357921","79.95577862432839","490.5993085254945","0.0001543372798967592","0.0030219280852369136","0.08849932249533707","1.1220865278272775e-05","0.0004376450373553859","0.002113006566347279"
"343","259.60327937995567","84.47326351355775","490.82377474951784","0.0001543372798967592","0.0030219280852369136","0.08849932249533707","1.0556503316831506e-05","0.0003690750792909861","0.002104497604097973"
"344","256.14931700121235","79.98956929761806","491.0465583258093","0.0001543372798967592","0.0030219280852369136","0.08849932249533707","1.0037647023854402e-05","0.00031579587647810793","0.0020961622063186006"
"345","252.6493379459297","84.35395382643924","491.2676615057254","0.0001543372798967592","0.0030219280852369136","0.08849932249533707","9.63178587067214e-06","0.0002743844272359811","0.002087974056033721"
"346","249.3358900610151","79.97481905678234","491.4871070702278","0.0001543372798967592","0.0030219280852369136","0.08849932249533707","9.313680220782132e-06","0.00024218425650868254","0.002079913324426075"
"347","245.97665842798676","84.19170224881407","491.70489747970214","0.0001543372798967592","0.0030219280852369136","0.08849932249533707","9.063732574228164e-06","0.00021713365090626421","0.0020719639045946804"
"348","242.79967404073625","80.01193824837725","491.9210550352865","0.0001543372798967592","0.0030219280852369136","0.08849932249533707","8.866728394127155e-06","0.00019763255384665587","0.0020641138558781568"
"349","239.57966078778668","84.06270664211024","492.1355822963616","0.0001543372798967592","0.0030219280852369136","0.08849932249533707","8.710853528714365e-06","0.0001824391097189809","0.002056353205119263"
"350","236.53688590467732","80.01480052007207","492.34850098635934","0.0001543372798967592","0.0030219280852369136","0.08849932249533707","8.586936206104726e-06","0.00017058952208976383","0.0020486747467179916"
"351","233.45205117350878","83.9213881063531","492.55981389528006","0.0001543372798967592","0.0030219280852369136","0.08849932249533707","8.48785390509217e-06","0.00016133573133537548","0.0020410721990790233"
"352","230.53985418881962","80.03480296566573","492.7695422266279","0.0001543372798967592","0.0030219280852369136","0.08849932249533707","8.408077350088138e-06","0.0001540971656695205","0.0020335411924774366"
"353","227.5873839495137","83.77008214567923","492.9776889022039","0.0001543372798967592","0.0030219280852369136","0.08849932249533707","8.343312147065111e-06","0.00014842319005357144","0.0020260776671489553"
"354","224.80203514036697","80.06907385084395","493.18427459996997","0.0001543372798967592","0.0030219280852369136","0.08849932249533707","8.290224764720945e-06","0.00014396406298737506","0.0020186789557642827"
"355","221.97890272201175","83.61118598905063","493.3893024403576","0.0001543372798967592","0.0030219280852369136","0.08849932249533707","8.246225687661182e-06","0.00014044830350271227","0.0020113423397494"
"356","219.6694282137455","80.1147232663306","492.6102615127327","0.0007051088947240751","0.013806051094993962","0.1089451038251669","8.209305053723107e-06","0.00013766521392359399","0.002004066169421162"
"357","218.18108012035532","83.45515801122156","491.4083454977157","0.0025098029891106057","0.050697135850117314","0.11371750637984349","1.472051483342872e-05","0.00023964453769671475","0.0021359309906150543"
"358","217.42795315794518","80.19624513409514","490.12712774612316","0.0038328293705077016","0.10343680087081103","0.09902601175213863","4.13566760556717e-05","0.0006778350356784015","0.0022883294153684176"
"359","217.54559378514637","83.33382486292851","489.044793205504","0.005468016721370419","0.18461626994071687","0.07364639971933247","7.842543675497149e-05","0.0015436384438380552","0.0023457504417031165"
